GUDAGUDA Super Goryokaku,,GUDAGUDA Super Goryokaku: The Killer Sign is M51,,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Misaka: Biker's Oasis,30,30,165,Event,12,,0.166,0.092,,6530,Mystic Spinal Fluid,17.33,173.1,AP,0.166,0.092,,6004,Gem of Rider,12.67,236.8,AP,0.035,,,7004,Rider Piece,9.67,310.2,AP,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Misaka: Local B-Class Gourmet Food Battle!,35,35,265,Event,12,,0.164,0.107,,6516,Evil Bone,30.8,113.6,AP,0.164,0.107,,6002,Gem of Archer,20.68,169.2,AP,0.043,,,7002,Archer Piece,13.08,267.6,AP,0.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Misaka: Are You Dying for this Famous Souvenir?,40,40,415,Event,12,,0.302,0.221,,6514,Homunculus Baby,26.57,150.5,AP,0.302,0.221,,6005,Gem of Caster,30.07,133.0,AP,0.061,,,7005,Caster Piece,22.58,177.1,AP,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Kofu: Takeda Boot Camp Hell: Training Edition,40,40,615,Event,12,,0.499,0.262,,6501,Phoenix Feather,21.66,184.7,AP,0.284,0.157,,6503,Proof of Hero,46.07,86.8,AP,0.215,0.105,,6203,Secret Gem of Lancer,10.33,387.2,AP,0.190,,,7103,Lancer Monument,10.88,367.6,AP,0.130,,,6003,Gem of Lancer,30.9,129.4,AP,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Sutema: Fierce Battle! Hazardous Road Patrol 24 Hours,40,40,715,Event,12,,0.770,0.385,,6539,Reactor Core of Dawn,18.03,221.9,AP,0.416,0.209,,6510,Eternal Gear,32.54,122.9,AP,0.355,0.175,,6104,Magic Gem of Rider,16.47,242.9,AP,0.089,,,7104,Rider Monument,13.56,295.0,AP,0.167,,,6004,Gem of Rider,27.73,144.2,AP,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Chikuma: Takeda Boot Camp Hell: Practical Edition,40,40,815,Event,12,,1.109,0.540,,6518,Spirit Root,17.68,226.2,AP,0.682,0.332,,6515,Octuplet Crystal,36.95,108.3,AP,0.427,0.208,,6206,Secret Gem of Assassin,15.02,266.3,AP,0.276,,,7106,Assassin Monument,15.65,255.6,AP,0.189,,,6006,Gem of Assassin,34.72,115.2,AP,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Takeda's Hidden Hot Springs: From Rome with Love to Thermae,40,40,915,Event,12,,1.022,0.627,,6521,Black Beast Grease,25.68,155.8,AP,0.596,0.364,,6534,Mystic Gunpowder,62.29,64.2,AP,0.427,0.263,,6101,Magic Gem of Saber,26.71,149.8,AP,0.148,,,7101,Saber Monument,20.18,198.2,AP,0.250,,,6001,Gem of Saber,25.29,158.2,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Sonohara: Business Tripe! Magifender Girl Special Hero Show,40,40,"1,098",Event,12,,1.577,0.924,,6517,Heart of the Foreign God,26.08,153.4,AP,0.984,0.614,,6532,Refined Magatama,53.84,74.3,AP,0.594,0.309,,6205,Secret Gem of Caster,25.75,155.3,AP,0.319,,,7105,Caster Monument,21.17,188.9,AP,0.258,,,6105,Magic Gem of Caster,33.48,119.5,AP,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Okehazama: Decisive Battle! Second Battle of Okehazama,40,40,"1,318",Event,12,,1.909,1.250,,6548,Flaming Oni Lantern Plant,30.91,129.4,AP,1.212,0.743,,6553,Sun Leather,62.28,64.2,AP,0.698,0.507,,6207,Secret Gem of Berserker,30.82,129.8,AP,0.573,,,7107,Berserker Monument,26.12,153.1,AP,0.314,,,6107,Magic Gem of Berserker,16.09,248.6,AP,0.088,,,6007,Gem of Berserker,16.52,242.1,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Imagawa General,40,40,"2,636",Raid 1,12,,2.647,1.336,,6546,Fruit of Eternity,47.13,84.9,AP,1.083,0.546,,6515,Octuplet Crystal,33.87,118.1,AP,0.391,0.190,,6505,Void's Dust,115,34.8,AP,0.834,0.411,,6530,Mystic Spinal Fluid,47.35,84.5,AP,0.340,0.188,,6207,Secret Gem of Berserker,57.44,69.6,AP,1.068,,,6107,Magic Gem of Berserker,75.7,52.8,AP,0.416,,,6007,Gem of Berserker,38.44,104.1,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,466,536",136663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
